AirportName,MostFrequentReason,NumCancellations
"Abilene, TX: Abilene Regional",Weather,3
"Aguadilla, PR: Rafael Hernandez",Carrier,1
"Aguadilla, PR: Rafael Hernandez",Weather,1
"Akron, OH: Akron-Canton Regional","National Air System",8
"Albany, GA: Southwest Georgia Regional",Weather,1
"Albany, NY: Albany International",Weather,8
"Albuquerque, NM: Albuquerque International Sunport",Weather,8
"Alexandria, LA: Alexandria International",Weather,3
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Weather,5
"Amarillo, TX: Rick Husband Amarillo International",Weather,5
"Amarillo, TX: Rick Husband Amarillo International",Carrier,5
"Anchorage, AK: Ted Stevens Anchorage International",Carrier,9
"Appleton, WI: Appleton International","National Air System",3
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,8
"Asheville, NC: Asheville Regional",Weather,10
"Ashland, WV: Tri-State/Milton J. Ferguson Field",Weather,1
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,8
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Carrier,114
"Atlantic City, NJ: Atlantic City International",Carrier,4
"Augusta, GA: Augusta Regional at Bush Field",Carrier,2
"Augusta, GA: Augusta Regional at Bush Field",Weather,2
"Austin, TX: Austin - Bergstrom International",Weather,37
"Bakersfield, CA: Meadows Field",Carrier,3
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,126
"Bangor, ME: Bangor International","National Air System",13
"Barrow, AK: Wiley Post/Will Rogers Memorial",Carrier,1
"Barrow, AK: Wiley Post/Will Rogers Memorial",Weather,1
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,31
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,1
"Bend/Redmond, OR: Roberts Field",Weather,2
"Bethel, AK: Bethel Airport",Carrier,1
"Billings, MT: Billings Logan International",Carrier,1
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,19
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,3
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","National Air System",7
"Boise, ID: Boise Air Terminal",Weather,2
"Boston, MA: Logan International",Weather,149
"Bozeman, MT: Bozeman Yellowstone International",Weather,2
"Branson, MO: Branson Airport",Carrier,1
"Bristol/Johnson City/Kingsport, TN: Tri Cities",Carrier,3
"Brownsville, TX: Brownsville South Padre Island International",Carrier,2
"Buffalo, NY: Buffalo Niagara International","National Air System",44
"Burbank, CA: Bob Hope",Carrier,78
"Burlington, VT: Burlington International","National Air System",19
"CONCORD, NC: Concord Padgett Regional",Weather,2
"Cape Girardeau, MO: Cape Girardeau Regional",Carrier,1
"Casper, WY: Casper/Natrona County International",Weather,1
"Cedar Rapids/Iowa City, IA: The Eastern Iowa","National Air System",15
"Champaign/Urbana, IL: University of Illinois/Willard","National Air System",9
"Charleston, SC: Charleston AFB/International",Weather,33
"Charleston/Dunbar, WV: Yeager",Weather,9
"Charlotte Amalie, VI: Cyril E King",Weather,1
"Charlotte Amalie, VI: Cyril E King",Carrier,1
"Charlotte, NC: Charlotte Douglas International",Weather,219
"Charlottesville, VA: Charlottesville Albemarle","National Air System",16
"Chattanooga, TN: Lovell Field",Weather,8
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",Weather,1
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",Carrier,1
"Chicago, IL: Chicago Midway International",Weather,86
"Chicago, IL: Chicago O'Hare International","National Air System",511
"Cincinnati, OH: Cincinnati/Northern Kentucky International","National Air System",59
"Cleveland, OH: Cleveland-Hopkins International","National Air System",78
"College Station/Bryan, TX: Easterwood Field","National Air System",1
"College Station/Bryan, TX: Easterwood Field",Weather,1
"Colorado Springs, CO: City of Colorado Springs Municipal",Carrier,9
"Columbia, MO: Columbia Regional","National Air System",6
"Columbia, SC: Columbia Metropolitan",Weather,8
"Columbus, GA: Columbus Airport","National Air System",1
"Columbus, MS: Golden Triangle Regional",Weather,2
"Columbus, OH: John Glenn Columbus International","National Air System",69
"Corpus Christi, TX: Corpus Christi International",Carrier,9
"Dallas, TX: Dallas Love Field",Weather,49
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,390
"Dayton, OH: James M Cox/Dayton International","National Air System",18
"Daytona Beach, FL: Daytona Beach International",Weather,2
"Del Rio, TX: Del Rio International",Weather,1
"Denver, CO: Denver International",Weather,177
"Des Moines, IA: Des Moines International","National Air System",13
"Detroit, MI: Detroit Metro Wayne County",Weather,106
"Devils Lake, ND: Devils Lake Regional","National Air System",1
"Dubuque, IA: Dubuque Regional","National Air System",4
"Duluth, MN: Duluth International","National Air System",3
"Durango, CO: Durango La Plata County",Weather,5
"Eagle, CO: Eagle County Regional",Weather,1
"Eagle, CO: Eagle County Regional","National Air System",1
"Eau Claire, WI: Chippewa Valley Regional","National Air System",1
"El Paso, TX: El Paso International",Weather,8
"Erie, PA: Erie International/Tom Ridge Field","National Air System",1
"Escanaba, MI: Delta County",Weather,2
"Eugene, OR: Mahlon Sweet Field",Weather,1
"Eugene, OR: Mahlon Sweet Field",Carrier,1
"Evansville, IN: Evansville Regional","National Air System",8
"Fairbanks, AK: Fairbanks International",Carrier,4
"Fargo, ND: Hector International","National Air System",3
"Fayetteville, AR: Northwest Arkansas Regional","National Air System",15
"Fayetteville, NC: Fayetteville Regional/Grannis Field",Weather,4
"Flint, MI: Bishop International",Weather,6
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Weather,44
"Fort Myers, FL: Southwest Florida International",Weather,12
"Fort Smith, AR: Fort Smith Regional","National Air System",1
"Fort Wayne, IN: Fort Wayne International","National Air System",7
"Fresno, CA: Fresno Yosemite International",Carrier,5
"Gainesville, FL: Gainesville Regional",Weather,5
"Gillette, WY: Gillette Campbell County",Carrier,1
"Grand Island, NE: Central Nebraska Regional",Weather,1
"Grand Junction, CO: Grand Junction Regional",Weather,2
"Grand Rapids, MI: Gerald R. Ford International","National Air System",28
"Green Bay, WI: Green Bay Austin Straubel International",Weather,10
"Green Bay, WI: Green Bay Austin Straubel International","National Air System",10
"Greensboro/High Point, NC: Piedmont Triad International","National Air System",17
"Greer, SC: Greenville-Spartanburg International","National Air System",25
"Guam, TT: Guam International",Carrier,2
"Gulfport/Biloxi, MS: Gulfport-Biloxi International",Weather,9
"Hancock/Houghton, MI: Houghton County Memorial",Weather,3
"Harlingen/San Benito, TX: Valley International",Weather,4
"Harrisburg, PA: Harrisburg International","National Air System",10
"Hartford, CT: Bradley International",Weather,19
"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional","National Air System",1
"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional",Weather,1
"Hayden, CO: Yampa Valley",Weather,2
"Hilton Head, SC: Hilton Head Airport",Weather,4
"Honolulu, HI: Daniel K Inouye International",Carrier,7
"Houston, TX: George Bush Intercontinental/Houston",Weather,57
"Houston, TX: William P Hobby",Weather,46
"Huntsville, AL: Huntsville International-Carl T Jones Field",Carrier,11
"Indianapolis, IN: Indianapolis International","National Air System",53
"Islip, NY: Long Island MacArthur",Weather,8
"Jackson, WY: Jackson Hole",Weather,3
"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",Carrier,6
"Jacksonville, FL: Jacksonville International",Weather,21
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Weather,1
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Carrier,1
"Jamestown, ND: Jamestown Regional","National Air System",1
"Jamestown, ND: Jamestown Regional",Weather,1
"Joplin, MO: Joplin Regional","National Air System",4
"Juneau, AK: Juneau International",Carrier,1
"Kahului, HI: Kahului Airport",Carrier,9
"Kalamazoo, MI: Kalamazoo/Battle Creek International","National Air System",9
"Kansas City, MO: Kansas City International",Weather,40
"Kearney, NE: Kearney Regional",Weather,2
"Ketchikan, AK: Ketchikan International",Weather,1
"Key West, FL: Key West International","National Air System",1
"Key West, FL: Key West International",Weather,1
"Killeen, TX: Robert Gray AAF","National Air System",3
"Knoxville, TN: McGhee Tyson","National Air System",16
"Kodiak, AK: Kodiak Airport",Weather,3
"La Crosse, WI: La Crosse Regional",Weather,2
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,20
"Lake Charles, LA: Lake Charles Regional","National Air System",2
"Lansing, MI: Capital Region International",Weather,6
"Laramie, WY: Laramie Regional",Weather,1
"Laredo, TX: Laredo International","National Air System",3
"Laredo, TX: Laredo International",Weather,3
"Las Vegas, NV: McCarran International",Carrier,86
"Latrobe, PA: Arnold Palmer Regional",Carrier,1
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Weather,3
"Lewisburg, WV: Greenbrier Valley",Weather,1
"Lexington, KY: Blue Grass","National Air System",9
"Lincoln, NE: Lincoln Airport","National Air System",4
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field","National Air System",12
"Long Beach, CA: Long Beach Airport",Carrier,2
"Longview, TX: East Texas Regional","National Air System",1
"Longview, TX: East Texas Regional",Weather,1
"Los Angeles, CA: Los Angeles International",Carrier,136
"Louisville, KY: Louisville Muhammad Ali International","National Air System",27
"Lubbock, TX: Lubbock Preston Smith International",Carrier,6
"Lubbock, TX: Lubbock Preston Smith International",Weather,6
"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field",Weather,2
"Madison, WI: Dane County Regional-Truax Field","National Air System",27
"Mammoth Lakes, CA: Mammoth Lakes Airport",Weather,6
"Manchester, NH: Manchester-Boston Regional","National Air System",8
"Manhattan/Ft. Riley, KS: Manhattan Regional","National Air System",3
"Marquette, MI: Sawyer International",Weather,1
"Marquette, MI: Sawyer International","National Air System",1
"Martha's Vineyard, MA: Martha's Vineyard Airport",Weather,1
"Medford, OR: Rogue Valley International - Medford",Carrier,2
"Melbourne, FL: Melbourne International",Carrier,2
"Memphis, TN: Memphis International","National Air System",18
"Meridian, MS: Key Field","National Air System",1
"Meridian, MS: Key Field",Weather,1
"Miami, FL: Miami International",Weather,71
"Midland/Odessa, TX: Midland International Air and Space Port",Carrier,9
"Milwaukee, WI: General Mitchell International",Weather,23
"Minneapolis, MN: Minneapolis-St Paul International",Weather,59
"Minot, ND: Minot International",Carrier,1
"Minot, ND: Minot International",Weather,1
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Carrier,7
"Missoula, MT: Missoula International","National Air System",2
"Moab, UT: Canyonlands Field",Weather,1
"Mobile, AL: Mobile Downtown",Weather,1
"Mobile, AL: Mobile Regional",Weather,7
"Moline, IL: Quad City International","National Air System",7
"Monroe, LA: Monroe Regional",Weather,4
"Monterey, CA: Monterey Regional",Carrier,4
"Montgomery, AL: Montgomery Regional",Carrier,1
"Montrose/Delta, CO: Montrose Regional","National Air System",1
"Montrose/Delta, CO: Montrose Regional",Carrier,1
"Mosinee, WI: Central Wisconsin","National Air System",3
"Mosinee, WI: Central Wisconsin",Weather,3
"Muskegon, MI: Muskegon County",Weather,2
"Myrtle Beach, SC: Myrtle Beach International",Weather,28
"Nantucket, MA: Nantucket Memorial",Weather,8
"Nashville, TN: Nashville International",Weather,59
"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional","National Air System",1
"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",Weather,1
"New Haven, CT: Tweed New Haven",Weather,4
"New Orleans, LA: Louis Armstrong New Orleans International",Weather,209
"New York, NY: John F. Kennedy International","National Air System",224
"New York, NY: LaGuardia","National Air System",390
"Newark, NJ: Newark Liberty International",Weather,303
"Newburgh/Poughkeepsie, NY: New York Stewart International",Weather,1
"Newport News/Williamsburg, VA: Newport News/Williamsburg International",Carrier,4
"Niagara Falls, NY: Niagara Falls International","National Air System",1
"Norfolk, VA: Norfolk International","National Air System",49
"North Platte, NE: North Platte Regional Airport Lee Bird Field",Weather,1
"Oakland, CA: Metropolitan Oakland International",Carrier,52
"Ogdensburg, NY: Ogdensburg International",Weather,1
"Oklahoma City, OK: Will Rogers World",Weather,19
"Omaha, NE: Eppley Airfield",Weather,20
"Ontario, CA: Ontario International",Carrier,17
"Orlando, FL: Orlando International",Weather,78
"Paducah, KY: Barkley Regional",Carrier,1
"Paducah, KY: Barkley Regional","National Air System",1
"Paducah, KY: Barkley Regional",Weather,1
"Palm Springs, CA: Palm Springs International",Carrier,5
"Panama City, FL: Northwest Florida Beaches International","National Air System",2
"Panama City, FL: Northwest Florida Beaches International",Carrier,2
"Pasco/Kennewick/Richland, WA: Tri Cities",Weather,1
"Pensacola, FL: Pensacola International",Weather,10
"Peoria, IL: General Downing - Peoria International","National Air System",7
"Philadelphia, PA: Philadelphia International","National Air System",198
"Phoenix, AZ: Phoenix - Mesa Gateway",Weather,1
"Phoenix, AZ: Phoenix Sky Harbor International",Carrier,93
"Pittsburgh, PA: Pittsburgh International",Weather,59
"Plattsburgh, NY: Plattsburgh International",Carrier,1
"Portland, ME: Portland International Jetport","National Air System",37
"Portland, OR: Portland International",Carrier,26
"Prescott, AZ: Prescott Regional Ernest A Love Field",Weather,1
"Providence, RI: Theodore Francis Green State","National Air System",30
"Pueblo, CO: Pueblo Memorial",Weather,1
"Pueblo, CO: Pueblo Memorial",Carrier,1
"Quincy, IL: Quincy Regional-Baldwin Field","National Air System",1
"Raleigh/Durham, NC: Raleigh-Durham International","National Air System",69
"Rapid City, SD: Rapid City Regional",Weather,5
"Reno, NV: Reno/Tahoe International",Carrier,11
"Rhinelander, WI: Rhinelander/Oneida County",Weather,1
"Richmond, VA: Richmond International","National Air System",26
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field","National Air System",3
"Rochester, MN: Rochester International",Weather,5
"Rochester, NY: Greater Rochester International","National Air System",30
"Rockford, IL: Chicago/Rockford International",Weather,1
"Sacramento, CA: Sacramento International",Carrier,32
"Saginaw/Bay City/Midland, MI: MBS International",Weather,1
"Salt Lake City, UT: Salt Lake City International",Weather,19
"San Angelo, TX: San Angelo Regional/Mathis Field","National Air System",1
"San Angelo, TX: San Angelo Regional/Mathis Field",Weather,1
"San Antonio, TX: San Antonio International",Weather,23
"San Diego, CA: San Diego International",Carrier,49
"San Francisco, CA: San Francisco International",Carrier,76
"San Jose, CA: Norman Y. Mineta San Jose International",Carrier,53
"San Juan, PR: Luis Munoz Marin International",Carrier,10
"San Luis Obispo, CA: San Luis County Regional",Weather,2
"Sanford, FL: Orlando Sanford International",Weather,3
"Santa Ana, CA: John Wayne Airport-Orange County",Carrier,10
"Santa Barbara, CA: Santa Barbara Municipal",Carrier,3
"Santa Fe, NM: Santa Fe Municipal",Weather,2
"Santa Rosa, CA: Charles M. Schulz - Sonoma County",Security,1
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Carrier,3
"Savannah, GA: Savannah/Hilton Head International","National Air System",19
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",Weather,1
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International","National Air System",4
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Weather,4
"Seattle, WA: Seattle/Tacoma International",Carrier,45
"Shreveport, LA: Shreveport Regional","National Air System",4
"Shreveport, LA: Shreveport Regional",Weather,4
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field","National Air System",1
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",Weather,1
"Sioux Falls, SD: Joe Foss Field",Carrier,4
"Sitka, AK: Sitka Rocky Gutierrez",Weather,1
"Sitka, AK: Sitka Rocky Gutierrez",Carrier,1
"South Bend, IN: South Bend International","National Air System",1
"South Bend, IN: South Bend International",Carrier,1
"Spokane, WA: Spokane International",Carrier,1
"Spokane, WA: Spokane International",Weather,1
"Springfield, IL: Abraham Lincoln Capital",Weather,2
"Springfield, MO: Springfield-Branson National","National Air System",7
"St. Louis, MO: St Louis Lambert International","National Air System",45
"St. Petersburg, FL: St Pete Clearwater International",Weather,2
"State College, PA: University Park","National Air System",1
"Stillwater, OK: Stillwater Regional","National Air System",1
"Stillwater, OK: Stillwater Regional",Carrier,1
"Syracuse, NY: Syracuse Hancock International","National Air System",22
"Tallahassee, FL: Tallahassee International",Weather,6
"Tampa, FL: Tampa International",Weather,42
"Texarkana, AR: Texarkana Regional-Webb Field",Weather,2
"Toledo, OH: Toledo Express","National Air System",4
"Traverse City, MI: Cherry Capital","National Air System",9
"Trenton, NJ: Trenton Mercer",Carrier,13
"Tucson, AZ: Tucson International",Weather,8
"Tulsa, OK: Tulsa International",Weather,11
"Tyler, TX: Tyler Pounds Regional",Weather,2
"Tyler, TX: Tyler Pounds Regional","National Air System",2
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Weather,4
"Waco, TX: Waco Regional",Weather,3
"Washington, DC: Ronald Reagan Washington National","National Air System",217
"Washington, DC: Washington Dulles International",Weather,55
"Waterloo, IA: Waterloo Regional","National Air System",2
"West Palm Beach/Palm Beach, FL: Palm Beach International",Weather,10
"White Plains, NY: Westchester County",Weather,17
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Carrier,1
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",Weather,1
"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal","National Air System",1
"Wichita, KS: Wichita Dwight D Eisenhower National",Weather,7
"Wilmington, NC: Wilmington International","National Air System",8
"Worcester, MA: Worcester Regional",Weather,2
"Yakutat, AK: Yakutat Airport",Weather,2
